Local,Ano,Morte5
ADAMANTINA,1991,"29,31"
ADAMANTINA,2000,"19,51"
ADAMANTINA,2010,"13,92"
ADOLFO,1991,"25,87"
ADOLFO,2000,"20,58"
ADOLFO,2010,"15,98"
AGUAÍ,1991,"31,55"
AGUAÍ,2000,"20,68"
AGUAÍ,2010,"14,50"
AGUDOS,1991,"31,77"
AGUDOS,2000,"23,70"
AGUDOS,2010,"15,88"
ALAMBARI,1991,"37,69"
ALAMBARI,2000,"27,03"
ALAMBARI,2010,"20,30"
ALFREDO MARCONDES,1991,"29,11"
ALFREDO MARCONDES,2000,"21,48"
ALFREDO MARCONDES,2010,"16,33"
ALTAIR,1991,"35,20"
ALTAIR,2000,"32,49"
ALTAIR,2010,"20,84"
ALTINÓPOLIS,1991,"25,85"
ALTINÓPOLIS,2000,"19,67"
ALTINÓPOLIS,2010,"16,05"
ALTO ALEGRE,1991,"31,39"
ALTO ALEGRE,2000,"22,36"
ALTO ALEGRE,2010,"18,89"
ALUMÍNIO,1991,"41,89"
ALUMÍNIO,2000,"26,22"
ALUMÍNIO,2010,"16,22"
ALVINLÂNDIA,1991,"39,48"
ALVINLÂNDIA,2000,"26,01"
ALVINLÂNDIA,2010,"21,91"
AMERICANA,1991,"23,00"
AMERICANA,2000,"19,05"
AMERICANA,2010,"12,49"
AMPARO,1991,"30,92"
AMPARO,2000,"19,14"
AMPARO,2010,"12,29"
AMÉRICO BRASILIENSE,1991,"20,73"
AMÉRICO BRASILIENSE,2000,"20,43"
AMÉRICO BRASILIENSE,2010,"15,13"
AMÉRICO DE CAMPOS,1991,"24,66"
AMÉRICO DE CAMPOS,2000,"22,58"
AMÉRICO DE CAMPOS,2010,"18,79"
ANALÂNDIA,1991,"26,16"
ANALÂNDIA,2000,"19,84"
ANALÂNDIA,2010,"13,22"
ANDRADINA,1991,"28,61"
ANDRADINA,2000,"20,18"
ANDRADINA,2010,"11,13"
ANGATUBA,1991,"37,22"
ANGATUBA,2000,"24,43"
ANGATUBA,2010,"17,78"
ANHEMBI,1991,"29,06"
ANHEMBI,2000,"21,74"
ANHEMBI,2010,"14,03"
ANHUMAS,1991,"27,78"
ANHUMAS,2000,"25,62"
ANHUMAS,2010,"15,89"
APARECIDA,1991,"31,39"
APARECIDA,2000,"21,13"
APARECIDA,2010,"17,63"
APARECIDA D'OESTE,1991,"30,38"
APARECIDA D'OESTE,2000,"25,29"
APARECIDA D'OESTE,2010,"20,34"
APIAÍ,1991,"40,03"
APIAÍ,2000,"24,69"
APIAÍ,2010,"16,93"
ARAMINA,1991,"24,37"
ARAMINA,2000,"23,17"
ARAMINA,2010,"14,77"
ARANDU,1991,"44,36"
ARANDU,2000,"27,70"
ARANDU,2010,"20,13"
ARAPEÍ,1991,"41,83"
ARAPEÍ,2000,"24,99"
ARAPEÍ,2010,"19,41"
ARARAQUARA,1991,"25,66"
ARARAQUARA,2000,"19,58"
ARARAQUARA,2010,"11,87"
ARARAS,1991,"25,90"
ARARAS,2000,"17,13"
ARARAS,2010,"13,34"
ARAÇARIGUAMA,1991,"40,67"
ARAÇARIGUAMA,2000,"26,62"
ARAÇARIGUAMA,2010,"19,16"
ARAÇATUBA,1991,"31,93"
ARAÇATUBA,2000,"21,26"
ARAÇATUBA,2010,"17,13"
ARAÇOIABA DA SERRA,1991,"31,03"
ARAÇOIABA DA SERRA,2000,"20,45"
ARAÇOIABA DA SERRA,2010,"14,33"
ARCO-ÍRIS,1991,"36,38"
ARCO-ÍRIS,2000,"21,91"
ARCO-ÍRIS,2010,"19,81"
AREALVA,1991,"28,91"
AREALVA,2000,"21,08"
AREALVA,2010,"16,41"
AREIAS,1991,"46,63"
AREIAS,2000,"27,23"
AREIAS,2010,"20,47"
AREIÓPOLIS,1991,"31,93"
AREIÓPOLIS,2000,"25,28"
AREIÓPOLIS,2010,"18,20"
ARIRANHA,1991,"24,66"
ARIRANHA,2000,"24,03"
ARIRANHA,2010,"19,35"
ARTUR NOGUEIRA,1991,"33,49"
ARTUR NOGUEIRA,2000,"20,50"
ARTUR NOGUEIRA,2010,"17,72"
ARUJÁ,1991,"25,35"
ARUJÁ,2000,"21,26"
ARUJÁ,2010,"12,76"
ASPÁSIA,1991,"35,45"
ASPÁSIA,2000,"19,40"
ASPÁSIA,2010,"13,98"
ASSIS,1991,"27,36"
ASSIS,2000,"20,04"
ASSIS,2010,"12,76"
ATIBAIA,1991,"25,69"
ATIBAIA,2000,"20,25"
ATIBAIA,2010,"14,81"
AURIFLAMA,1991,"33,04"
AURIFLAMA,2000,"27,01"
AURIFLAMA,2010,"16,34"
AVANHANDAVA,1991,"29,11"
AVANHANDAVA,2000,"23,76"
AVANHANDAVA,2010,"18,89"
AVARÉ,1991,"23,71"
AVARÉ,2000,"19,25"
AVARÉ,2010,"12,17"
AVAÍ,1991,"37,39"
AVAÍ,2000,"22,76"
AVAÍ,2010,"17,47"
BADY BASSITT,1991,"34,57"
BADY BASSITT,2000,"24,63"
BADY BASSITT,2010,"20,21"
BALBINOS,1991,"31,39"
BALBINOS,2000,"24,73"
BALBINOS,2010,"19,75"
BANANAL,1991,"37,52"
BANANAL,2000,"20,56"
BANANAL,2010,"13,27"
BARBOSA,1991,"36,50"
BARBOSA,2000,"29,09"
BARBOSA,2010,"16,06"
BARIRI,1991,"24,39"
BARIRI,2000,"15,65"
BARIRI,2010,"13,65"
BARRA BONITA,1991,"24,04"
BARRA BONITA,2000,"19,91"
BARRA BONITA,2010,"12,53"
BARRA DO CHAPÉU,1991,"46,63"
BARRA DO CHAPÉU,2000,"35,32"
BARRA DO CHAPÉU,2010,"23,51"
BARRA DO TURVO,1991,"47,68"
BARRA DO TURVO,2000,"28,41"
BARRA DO TURVO,2010,"21,79"
BARRETOS,1991,"25,35"
BARRETOS,2000,"20,28"
BARRETOS,2010,"11,75"
BARRINHA,1991,"31,65"
BARRINHA,2000,"26,01"
BARRINHA,2010,"17,51"
BARUERI,1991,"26,60"
BARUERI,2000,"21,23"
BARUERI,2010,"13,15"
BARÃO DE ANTONINA,1991,"42,32"
BARÃO DE ANTONINA,2000,"26,26"
BARÃO DE ANTONINA,2010,"18,48"
BASTOS,1991,"32,39"
BASTOS,2000,"21,86"
BASTOS,2010,"15,54"
BATATAIS,1991,"29,06"
BATATAIS,2000,"17,42"
BATATAIS,2010,"15,08"
BAURU,1991,"31,93"
BAURU,2000,"20,97"
BAURU,2010,"14,13"
BEBEDOURO,1991,"25,66"
BEBEDOURO,2000,"18,67"
BEBEDOURO,2010,"13,92"
BENTO DE ABREU,1991,"35,20"
BENTO DE ABREU,2000,"21,30"
BENTO DE ABREU,2010,"18,56"
BERNARDINO DE CAMPOS,1991,"37,46"
BERNARDINO DE CAMPOS,2000,"22,85"
BERNARDINO DE CAMPOS,2010,"16,59"
BERTIOGA,1991,"32,07"
BERTIOGA,2000,"26,49"
BERTIOGA,2010,"18,82"
BILAC,1991,"25,66"
BILAC,2000,"16,12"
BILAC,2010,"14,61"
BIRIGUI,1991,"28,20"
BIRIGUI,2000,"21,92"
BIRIGUI,2010,"13,47"
BIRITIBA-MIRIM,1991,"41,62"
BIRITIBA-MIRIM,2000,"28,89"
BIRITIBA-MIRIM,2010,"21,44"
BOA ESPERANÇA DO SUL,1991,"42,18"
BOA ESPERANÇA DO SUL,2000,"24,04"
BOA ESPERANÇA DO SUL,2010,"19,60"
BOCAINA,1991,"26,46"
BOCAINA,2000,"17,02"
BOCAINA,2010,"15,08"
BOFETE,1991,"33,64"
BOFETE,2000,"20,59"
BOFETE,2010,"18,44"
BOITUVA,1991,"31,83"
BOITUVA,2000,"20,60"
BOITUVA,2010,"14,24"
BOM JESUS DOS PERDÕES,1991,"37,69"
BOM JESUS DOS PERDÕES,2000,"24,91"
BOM JESUS DOS PERDÕES,2010,"20,63"
BOM SUCESSO DE ITARARÉ,1991,"46,63"
BOM SUCESSO DE ITARARÉ,2000,"29,72"
BOM SUCESSO DE ITARARÉ,2010,"24,01"
BORACÉIA,1991,"28,66"
BORACÉIA,2000,"18,01"
BORACÉIA,2010,"13,80"
BORBOREMA,1991,"37,85"
BORBOREMA,2000,"22,79"
BORBOREMA,2010,"17,35"
BOREBI,1991,"31,93"
BOREBI,2000,"25,90"
BOREBI,2010,"15,77"
BORÁ,1991,"24,37"
BORÁ,2000,"21,49"
BORÁ,2010,"14,07"
BOTUCATU,1991,"29,31"
BOTUCATU,2000,"21,19"
BOTUCATU,2010,"12,53"
BRAGANÇA PAULISTA,1991,"27,47"
BRAGANÇA PAULISTA,2000,"21,24"
BRAGANÇA PAULISTA,2010,"12,32"
BRAÚNA,1991,"31,11"
BRAÚNA,2000,"22,11"
BRAÚNA,2010,"17,47"
BREJO ALEGRE,1991,"37,66"
BREJO ALEGRE,2000,"26,56"
BREJO ALEGRE,2010,"17,86"
BRODOWSKI,1991,"26,25"
BRODOWSKI,2000,"18,70"
BRODOWSKI,2010,"14,02"
BROTAS,1991,"33,11"
BROTAS,2000,"25,77"
BROTAS,2010,"19,07"
BURI,1991,"48,04"
BURI,2000,"34,18"
BURI,2010,"20,95"
BURITAMA,1991,"29,96"
BURITAMA,2000,"27,46"
BURITAMA,2010,"16,51"
BURITIZAL,1991,"31,53"
BURITIZAL,2000,"24,38"
BURITIZAL,2010,"17,43"
BÁLSAMO,1991,"23,46"
BÁLSAMO,2000,"17,02"
BÁLSAMO,2010,"15,54"
CABREÚVA,1991,"33,64"
CABREÚVA,2000,"21,56"
CABREÚVA,2010,"17,63"
CABRÁLIA PAULISTA,1991,"41,13"
CABRÁLIA PAULISTA,2000,"28,18"
CABRÁLIA PAULISTA,2010,"19,49"
CACHOEIRA PAULISTA,1991,"25,06"
CACHOEIRA PAULISTA,2000,"19,21"
CACHOEIRA PAULISTA,2010,"15,43"
CACONDE,1991,"30,12"
CACONDE,2000,"20,75"
CACONDE,2010,"14,59"
CAFELÂNDIA,1991,"26,71"
CAFELÂNDIA,2000,"20,06"
CAFELÂNDIA,2010,"13,69"
CAIABU,1991,"32,22"
CAIABU,2000,"21,62"
CAIABU,2010,"18,19"
CAIEIRAS,1991,"31,94"
CAIEIRAS,2000,"19,48"
CAIEIRAS,2010,"11,83"
CAIUÁ,1991,"45,88"
CAIUÁ,2000,"33,19"
CAIUÁ,2010,"20,57"
CAJAMAR,1991,"32,82"
CAJAMAR,2000,"26,81"
CAJAMAR,2010,"19,66"
CAJATI,1991,"33,04"
CAJATI,2000,"28,41"
CAJATI,2010,"17,24"
CAJOBI,1991,"24,66"
CAJOBI,2000,"21,97"
CAJOBI,2010,"18,29"
CAJURU,1991,"31,93"
CAJURU,2000,"23,11"
CAJURU,2010,"17,92"
CAMPINA DO MONTE ALEGRE,1991,"37,92"
CAMPINA DO MONTE ALEGRE,2000,"28,42"
CAMPINA DO MONTE ALEGRE,2010,"15,71"
CAMPINAS,1991,"26,73"
CAMPINAS,2000,"20,77"
CAMPINAS,2010,"13,70"
CAMPO LIMPO PAULISTA,1991,"34,57"
CAMPO LIMPO PAULISTA,2000,"20,20"
CAMPO LIMPO PAULISTA,2010,"16,35"
CAMPOS DO JORDÃO,1991,"28,55"
CAMPOS DO JORDÃO,2000,"25,72"
CAMPOS DO JORDÃO,2010,"15,17"
CAMPOS NOVOS PAULISTA,1991,"32,50"
CAMPOS NOVOS PAULISTA,2000,"22,49"
CAMPOS NOVOS PAULISTA,2010,"18,09"
CANANÉIA,1991,"30,14"
CANANÉIA,2000,"19,90"
CANANÉIA,2010,"15,19"
CANAS,1991,"39,48"
CANAS,2000,"31,50"
CANAS,2010,"21,17"
CANITAR,1991,"34,78"
CANITAR,2000,"27,50"
CANITAR,2010,"21,93"
CAPELA DO ALTO,1991,"32,39"
CAPELA DO ALTO,2000,"25,75"
CAPELA DO ALTO,2010,"18,21"
CAPIVARI,1991,"24,01"
CAPIVARI,2000,"20,74"
CAPIVARI,2010,"14,38"
CAPÃO BONITO,1991,"42,32"
CAPÃO BONITO,2000,"27,51"
CAPÃO BONITO,2010,"17,86"
CARAGUATATUBA,1991,"33,64"
CARAGUATATUBA,2000,"19,60"
CARAGUATATUBA,2010,"14,61"
CARAPICUÍBA,1991,"26,60"
CARAPICUÍBA,2000,"24,72"
CARAPICUÍBA,2010,"16,10"
