Local,Ano,Morte5,Nível
Acre,1991,50.63,UF
Acre,2000,34.08,UF
Acre,2010,24.93,UF
Acre,2020,19.3,UF
Alagoas,1991,94.68,UF
Alagoas,2000,62.05,UF
Alagoas,2010,31.03,UF
Alagoas,2020,15.2,UF
Amapá,1991,54.31,UF
Amapá,2000,36.35,UF
Amapá,2010,16.16,UF
Amapá,2020,24.8,UF
Amazonas,1991,61.49,UF
Amazonas,2000,46.34,UF
Amazonas,2010,18.22,UF
Amazonas,2020,18.7,UF
Bahia,1991,90.74,UF
Bahia,2000,53.38,UF
Bahia,2010,23.49,UF
Bahia,2020,17.5,UF
Brasil,1991,53.074711716326625,BR
Brasil,2000,34.112461458775854,BR
Brasil,2010,18.68022940984921,BR
Brasil,2020,14.0,BR
Ceará,1991,82.7,UF
Ceará,2000,53.39,UF
Ceará,2010,20.76,UF
Ceará,2020,14.7,UF
Centro-Oeste,1991,35.945432865525724,GR
Centro-Oeste,2000,28.287924720559456,GR
Centro-Oeste,2010,17.96655905366425,GR
Centro-Oeste,2020,14.0,GR
Distrito Federal,1991,31.75,UF
Distrito Federal,2000,24.04,UF
Distrito Federal,2010,15.85,UF
Distrito Federal,2020,10.7,UF
Espírito Santo,1991,40.6,UF
Espírito Santo,2000,27.35,UF
Espírito Santo,2010,16.33,UF
Espírito Santo,2020,11.4,UF
Goiás,1991,34.75,UF
Goiás,2000,28.22,UF
Goiás,2010,16.28,UF
Goiás,2020,14.1,UF
Maranhão,1991,106.43,UF
Maranhão,2000,60.12,UF
Maranhão,2010,30.61,UF
Maranhão,2020,18.7,UF
Mato Grosso,1991,37.41,UF
Mato Grosso,2000,30.55,UF
Mato Grosso,2010,20.28,UF
Mato Grosso,2020,16.8,UF
Mato Grosso do Sul,1991,40.72,UF
Mato Grosso do Sul,2000,29.94,UF
Mato Grosso do Sul,2010,21.47,UF
Mato Grosso do Sul,2020,12.8,UF
Minas Gerais,1991,46.23,UF
Minas Gerais,2000,30.37,UF
Minas Gerais,2010,17.3,UF
Minas Gerais,2020,13.1,UF
Nordeste,1991,89.84018933346357,GR
Nordeste,2000,55.28584408263402,GR
Nordeste,2010,24.106388678979716,GR
Nordeste,2020,16.3,GR
Norte,1991,63.47226768115225,GR
Norte,2000,38.95843481217023,GR
Norte,2010,20.516868039745184,GR
Norte,2020,18.9,GR
Paraná,1991,44.49,UF
Paraná,2000,23.53,UF
Paraná,2010,15.07,UF
Paraná,2020,10.7,UF
Paraíba,1991,96.98,UF
Paraíba,2000,55.6,UF
Paraíba,2010,23.42,UF
Paraíba,2020,16.2,UF
Pará,1991,64.44,UF
Pará,2000,35.6,UF
Pará,2010,21.87,UF
Pará,2020,19.0,UF
Pernambuco,1991,81.37,UF
Pernambuco,2000,54.6,UF
Pernambuco,2010,22.03,UF
Pernambuco,2020,13.7,UF
Piauí,1991,84.8,UF
Piauí,2000,53.92,UF
Piauí,2010,24.98,UF
Piauí,2020,18.5,UF
Rio Grande do Norte,1991,89.1,UF
Rio Grande do Norte,2000,56.01,UF
Rio Grande do Norte,2010,21.21,UF
Rio Grande do Norte,2020,14.7,UF
Rio Grande do Sul,1991,26.37,UF
Rio Grande do Sul,2000,19.44,UF
Rio Grande do Sul,2010,14.29,UF
Rio Grande do Sul,2020,9.8,UF
Rio de Janeiro,1991,34.36,UF
Rio de Janeiro,2000,23.07,UF
Rio de Janeiro,2010,16.33,UF
Rio de Janeiro,2020,14.3,UF
Rondônia,1991,54.06,UF
Rondônia,2000,36.35,UF
Rondônia,2010,19.34,UF
Rondônia,2020,15.7,UF
Roraima,1991,63.11,UF
Roraima,2000,33.7,UF
Roraima,2010,17.23,UF
Roraima,2020,23.0,UF
Santa Catarina,1991,28.56,UF
Santa Catarina,2000,19.37,UF
Santa Catarina,2010,13.38,UF
Santa Catarina,2020,10.5,UF
Sergipe,1991,85.11,UF
Sergipe,2000,54.6,UF
Sergipe,2010,24.04,UF
Sergipe,2020,18.1,UF
Sudeste,1991,35.83700416482288,GR
Sudeste,2000,24.76194219123049,GR
Sudeste,2010,16.320398932621597,GR
Sudeste,2020,12.2,GR
Sul,1991,33.740939731927476,GR
Sul,2000,20.9815287140764,GR
Sul,2010,14.379820307051807,GR
Sul,2020,10.4,GR
São Paulo,1991,30.86,UF
São Paulo,2000,22.49,UF
São Paulo,2010,15.85,UF
São Paulo,2020,11.1,UF
Tocantins,1991,83.26,UF
Tocantins,2000,46.98,UF
Tocantins,2010,21.05,UF
Tocantins,2020,15.5,UF
