Cod_UDH,Local,Municipio,Ano,Morte5
1350250700001,Jardim Paraíba / Jardim Santo Afonso,Aparecida (SP),2000,14.25
1350250700001,Jardim Paraíba / Jardim Santo Afonso,Aparecida (SP),2010,10.26
1350250700002,Rosa de Ouro,Aparecida (SP),2000,14.71
1350250700002,Rosa de Ouro,Aparecida (SP),2010,9.37
1350250700003,Vila Mariana : Centro Esportivo / Residencial Parque das Gardenias ( MRV ),Aparecida (SP),2000,22.11
1350250700003,Vila Mariana : Centro Esportivo / Residencial Parque das Gardenias ( MRV ),Aparecida (SP),2010,14.18
1350250700004,Centro / Jardim São Paulo : Seminário Bom Jesus / Rodoviária,Aparecida (SP),2000,14.71
1350250700004,Centro / Jardim São Paulo : Seminário Bom Jesus / Rodoviária,Aparecida (SP),2010,9.37
1350250700005,Santa Edwirges / Várzea : CDHU,Aparecida (SP),2000,29.34
1350250700005,Santa Edwirges / Várzea : CDHU,Aparecida (SP),2010,19.65
1350250700006,Zona Rural / Bonfim /  Germano Lopes Siqueira : Pedreira Serveng / Forros / Fazenda São José / Antigo Lixão,Aparecida (SP),2000,29.34
1350250700006,Zona Rural / Bonfim /  Germano Lopes Siqueira : Pedreira Serveng / Forros / Fazenda São José / Antigo Lixão,Aparecida (SP),2010,19.65
1350250700007,Jardim Paraíba / São Sebastião : Santuário Nacional de Nossa Senhora Aparecida,Aparecida (SP),2000,22.11
1350250700007,Jardim Paraíba / São Sebastião : Santuário Nacional de Nossa Senhora Aparecida,Aparecida (SP),2010,14.18
1350250700008,Santa Rita,Aparecida (SP),2000,22.11
1350250700008,Santa Rita,Aparecida (SP),2010,14.18
1350250700009,Santa Teresinha / Vila Mariana / Ponte Alta : Estádio Penidão,Aparecida (SP),2000,23.28
1350250700009,Santa Teresinha / Vila Mariana / Ponte Alta : Estádio Penidão,Aparecida (SP),2010,14.18
1350250700010,Parque Residencial Itaguaçu / São Geraldo,Aparecida (SP),2000,23.28
1350250700010,Parque Residencial Itaguaçu / São Geraldo,Aparecida (SP),2010,19.65
1350250700011,Santa Luzia / São Francisco / Sonho Meu / São Roque / Fazenda Pires do Rio : Cemitério Pio XII / Morro do Cruzeiro,Aparecida (SP),2000,23.28
1350250700011,Santa Luzia / São Francisco / Sonho Meu / São Roque / Fazenda Pires do Rio : Cemitério Pio XII / Morro do Cruzeiro,Aparecida (SP),2010,19.65
1350315800001,Arapeí,Arapeí (SP),2000,24.99
1350315800001,Arapeí,Arapeí (SP),2010,19.41
1350350500001,Areias,Areias (SP),2000,30.04
