Local,Ano,Morte5,Nível
Brasil,1990,53.7,BR
Brasil,1991,50.7,BR
Brasil,1992,47.8,BR
Brasil,1993,45.2,BR
Brasil,1994,42.6,BR
Brasil,1995,40.2,BR
Brasil,1996,38.0,BR
Brasil,1997,35.8,BR
Brasil,1998,33.8,BR
Brasil,1999,31.9,BR
Brasil,2000,30.1,BR
Brasil,2001,28.7,BR
Brasil,2002,27.2,BR
Brasil,2003,26.1,BR
Brasil,2004,25.0,BR
Brasil,2005,23.7,BR
Brasil,2006,22.7,BR
Brasil,2007,21.6,BR
Brasil,2008,20.5,BR
Brasil,2009,19.6,BR
Brasil,2010,18.6,BR
Brasil,2011,17.7,BR
Brasil,2012,17.3,BR
Brasil,2013,16.7,BR
Brasil,2014,16.3,BR
Brasil,2015,15.8,BR
Brasil,2016,16.4,BR
Brasil,2017,15.6,BR
Brasil,2018,15.2,BR
Brasil,2019,15.4,BR
Brasil,2020,14.0,BR
Brasil,2021,14.5,BR
Brasil,2022,15.5,BR
Norte,1990,52.9,GR
Norte,1991,51.3,GR
Norte,1992,49.7,GR
Norte,1993,48.1,GR
Norte,1994,46.6,GR
Norte,1995,45.2,GR
Norte,1996,43.8,GR
Norte,1997,42.4,GR
Norte,1998,41.1,GR
Norte,1999,39.9,GR
Norte,2000,38.6,GR
Norte,2001,37.7,GR
Norte,2002,35.2,GR
Norte,2003,34.6,GR
Norte,2004,33.1,GR
Norte,2005,32.1,GR
Norte,2006,31.5,GR
Norte,2007,29.7,GR
Norte,2008,27.4,GR
Norte,2009,26.5,GR
Norte,2010,25.0,GR
Norte,2011,23.7,GR
Norte,2012,22.9,GR
Norte,2013,21.6,GR
Norte,2014,21.0,GR
Norte,2015,20.9,GR
Norte,2016,21.7,GR
Norte,2017,20.4,GR
Norte,2018,19.9,GR
Norte,2019,19.9,GR
Norte,2020,18.9,GR
Norte,2021,19.5,GR
Norte,2022,19.7,GR
Nordeste,1990,87.3,GR
Nordeste,1991,81.0,GR
Nordeste,1992,75.1,GR
Nordeste,1993,69.7,GR
